timestamp,sensorId,kalmanMs,differentiatorMs,dspPipelineMs,totalMs
2026-01-14T11:03:31.680Z,010-20081219114010,0.170,0.001,0.075,0.246
2026-01-14T11:03:43.693Z,010-20081219114010,0.170,0.001,0.074,0.245
2026-01-14T11:03:56.573Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T11:04:09.491Z,010-20081219114010,0.164,0.001,0.073,0.239
2026-01-14T11:04:22.347Z,010-20081219114010,0.157,0.001,0.069,0.228
2026-01-14T11:04:34.386Z,010-20081219114010,0.166,0.001,0.073,0.240
2026-01-14T11:04:46.458Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T11:04:58.511Z,010-20081219114010,0.167,0.001,0.075,0.245
2026-01-14T11:05:10.498Z,010-20081219114010,0.162,0.001,0.072,0.236
2026-01-14T11:05:22.492Z,010-20081219114010,0.164,0.001,0.072,0.238
2026-01-14T11:05:34.521Z,010-20081219114010,0.169,0.001,0.074,0.245
2026-01-14T11:05:46.506Z,010-20081219114010,0.162,0.001,0.071,0.234
2026-01-14T11:05:58.584Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T11:06:10.573Z,010-20081219114010,0.165,0.001,0.077,0.244
2026-01-14T11:06:22.556Z,010-20081219114010,0.159,0.001,0.071,0.232
2026-01-14T11:06:34.658Z,010-20081219114010,0.173,0.001,0.080,0.255
2026-01-14T11:06:46.637Z,010-20081219114010,0.164,0.001,0.073,0.238
2026-01-14T11:06:58.619Z,010-20081219114010,0.158,0.001,0.070,0.230
2026-01-14T11:07:10.607Z,010-20081219114010,0.164,0.001,0.074,0.239
2026-01-14T11:07:22.610Z,010-20081219114010,0.165,0.001,0.074,0.240
2026-01-14T11:07:34.588Z,010-20081219114010,0.175,0.001,0.077,0.254
2026-01-14T11:07:46.538Z,010-20081219114010,0.161,0.001,0.070,0.233
2026-01-14T11:07:58.520Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T11:08:10.561Z,010-20081219114010,0.178,0.001,0.081,0.261
2026-01-14T11:08:22.662Z,010-20081219114010,0.161,0.001,0.075,0.238
2026-01-14T11:08:34.670Z,010-20081219114010,0.174,0.001,0.078,0.254
2026-01-14T11:08:46.632Z,010-20081219114010,0.161,0.001,0.071,0.234
2026-01-14T11:08:58.609Z,010-20081219114010,0.165,0.001,0.072,0.239
2026-01-14T11:09:10.602Z,010-20081219114010,0.163,0.001,0.073,0.238
2026-01-14T11:09:22.550Z,010-20081219114010,0.159,0.001,0.071,0.231
